BPI2fix,BPI2KP
American University,American
Arkansas-Pine Bluff,Arkansas Pine Bluff
Bethune-Cookman,Bethune Cookman
California Baptist,Cal Baptist
Centenary Louisiana,Centenary
CSU Bakersfield,Cal St. Bakersfield
CSU Fullerton,Cal St. Fullerton
CSU Northridge,Cal St. Northridge
Florida International,FIU
Gardner-Webb,Gardner Webb
Grambling,Grambling St.
Hawai'i,Hawaii
Kansas City,UMKC
Long Island University,LIU
Loyola (MD),Loyola MD
Maryland-Eastern Shore,Maryland Eastern Shore
McNeese,McNeese St.
Miami,Miami FL
Miami (OH),Miami OH
NC St.,North Carolina St.
Nicholls,Nicholls St.
Ole Miss,Mississippi
Omaha,Nebraska Omaha
Pennsylvania,Penn
Sam Houston,Sam Houston St.
San José St.,San Jose St.
SE Louisiana,Southeastern Louisiana
Seattle U,Seattle
South Carolina Upstate,USC Upstate
St. Francis (BKN),St. Francis NY
St. Francis (PA),St. Francis PA
Tarleton,Tarleton St.
Texas A&M-CC,Texas A&M Corpus Chris
UConn,Connecticut
UIC,Illinois Chicago
UL Monroe,Louisiana Monroe
UMass,Massachusetts
UT Martin,Tennessee Martin
Detroit Mercy,Detroit
