tofix,repair
Albany (NY),Albany
American University,American
Arkansas-Pine Bluff,Arkansas Pine Bluff
Bethune-Cookman,Bethune Cookman
Bowling Green St.,Bowling Green
Brigham Young,BYU
California Baptist,Cal Baptist
CSU Bakersfield,Cal St. Bakersfield
CSU Fullerton,Cal St. Fullerton
CSU Northridge,Cal St. Northridge
University of California,California
Central Connecticut St.,Central Connecticut
College of Charleston,Charleston
UConn,Connecticut
Detroit,Detroit Mercy
Florida International,FIU
Gardner-Webb,Gardner Webb
Grambling,Grambling St.
Hawai'i,Hawaii
UIC,Illinois Chicago
Illinois-Chicago,Illinois Chicago
Arkansas Little Rock,Little Rock
LIU Brooklyn,LIU
Long Island University,LIU
Cal St. Long Beach,Long Beach St.
UL Monroe,Louisiana Monroe
Louisiana-Monroe,Louisiana Monroe
Loyola (IL),Loyola Chicago
Loyola (MD),Loyola MD
Louisiana St.,LSU
Maryland-Eastern Shore,Maryland Eastern Shore
UMass,Massachusetts
McNeese,McNeese St.
Miami,Miami FL
Miami (FL),Miami FL
Miami (OH),Miami OH
Ole Miss,Mississippi
Omaha,Nebraska Omaha
Nicholls,Nicholls St.
N.C. State,North Carolina St.
NC St.,North Carolina St.
North Carolina St.,North Carolina St.
Centenary Louisiana,out
Centenary (LA),out
Texas Pan American,out
Savannah St.,out
Centenary,out
Louisiana Lafayette,out
Winston Salem St.,out
Savannah St.,out
Pennsylvania,Penn
Prairie View,Prairie View A&M
IPFW,Purdue Fort Wayne
Fort Wayne,Purdue Fort Wayne
Purdue-Fort Wayne,Purdue Fort Wayne
Saint Mary's (CA),Saint Mary's
Sam Houston,Sam Houston St.
San José St.,San Jose St.
Seattle U,Seattle
Southern Methodist,SMU
SE Louisiana,Southeastern Louisiana
Southern Mississippi,Southern Miss
St. Francis (BKN),St. Francis NY
St. Francis (NY),St. Francis NY
St. Francis (PA),St. Francis PA
Saint Francis (PA),St. Francis PA
St. John's (NY),St. John's
St. Thomas - Minnesota,St. Thomas
St. Thomas (MN),St. Thomas
Tarleton,Tarleton St.
Texas Christian,TCU
UT Martin,Tennessee Martin
Tennessee-Martin,Tennessee Martin
Texas A&M-CC,Texas A&M Corpus Chris
Texas A&M-Corpus Christi,Texas A&M Corpus Chris
Alabama-Birmingham,UAB
UC-Davis,UC Davis
UC-Irvine,UC Irvine
UC-Riverside,UC Riverside
UC-San Diego,UC San Diego
UC-Santa Barbara,UC Santa Barbara
Central Florida,UCF
Massachusetts-Lowell,UMass Lowell
Maryland-Baltimore County,UMBC
Kansas City,UMKC
North Carolina-Asheville,UNC Asheville
North Carolina-Greensboro,UNC Greensboro
North Carolina-Wilmington,UNC Wilmington
Nevada-Las Vegas,UNLV
Southern California,USC
South Carolina Upstate,USC Upstate
Texas-Arlington,UT Arlington
Texas-Rio Grande Valley,UT Rio Grande Valley
Utah Valley St.,Utah Valley
Texas-El Paso,UTEP
Texas-San Antonio,UTSA
Virginia Commonwealth,VCU
